prop_id,area_id,kind,x_pct,y_pct,yaw_deg,h_m,group_id,collide,purify_target,life_blight_id,art,note
sea_i21_0003,area_i21,tree,15.6,96.4,8,4.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0004,area_i21,tree,21.4,96.4,-12,9.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0005,area_i21,tree,27.2,96.4,0,7.4,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0006,area_i21,tree,33.0,96.4,0,6.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0007,area_i21,tree,67.8,96.4,0,4.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0008,area_i21,tree,73.6,96.4,0,5.0,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0009,area_i21,tree,79.4,96.4,8,7.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0010,area_i21,tree,85.2,96.4,-8,6.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0011,area_i21,tree,91.0,96.4,0,6.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0012,area_i21,tree,3.6,4.0,0,9.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0013,area_i21,tree,3.6,9.8,-8,5.0,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0014,area_i21,tree,3.6,15.6,0,5.0,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0015,area_i21,tree,3.6,21.4,-8,5.8,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0016,area_i21,tree,3.6,27.2,0,6.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0017,area_i21,tree,3.6,33.0,0,4.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0018,area_i21,tree,3.6,38.8,-8,4.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0019,area_i21,tree,3.6,44.6,0,6.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0020,area_i21,tree,3.6,50.4,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0022,area_i21,tree,3.6,62.0,0,5.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0023,area_i21,tree,3.6,67.8,-12,9.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0024,area_i21,tree,3.6,73.6,-8,7.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0025,area_i21,tree,3.6,79.4,0,4.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0026,area_i21,tree,3.6,85.2,8,5.0,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0027,area_i21,tree,3.6,91.0,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0028,area_i21,tree,96.4,4.0,8,5.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0029,area_i21,tree,96.4,9.8,15,4.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0030,area_i21,tree,96.4,15.6,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0031,area_i21,tree,96.4,21.4,0,5.8,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0032,area_i21,tree,96.4,27.2,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0033,area_i21,tree,96.4,33.0,8,5.8,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0034,area_i21,tree,96.4,38.8,-8,5.8,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0035,area_i21,tree,96.4,44.6,15,7.4,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0037,area_i21,tree,96.4,56.2,-8,9.6,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0038,area_i21,tree,96.4,62.0,-12,7.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0040,area_i21,tree,96.4,73.6,8,6.6,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i21_0041,area_i21,tree,96.4,79.4,-8,7.4,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0042,area_i21,tree,96.4,85.2,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,sea_wall rhythm+corner thin
sea_i21_0043,area_i21,tree,96.4,91.0,0,8.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,sea_wall rhythm+corner thin
sea_i10_0044,area_i10,tree,4.0,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0045,area_i10,tree,9.8,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0046,area_i10,tree,15.6,96.4,0,9.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,south
sea_i10_0047,area_i10,tree,21.4,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0048,area_i10,tree,27.2,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0049,area_i10,tree,33.0,96.4,0,9.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,south
sea_i10_0050,area_i10,tree,38.8,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0051,area_i10,tree,44.6,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0052,area_i10,tree,50.4,96.4,0,9.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,south
sea_i10_0053,area_i10,tree,56.2,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0054,area_i10,tree,62.0,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0055,area_i10,tree,67.8,96.4,0,9.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,south
sea_i10_0056,area_i10,tree,73.6,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0057,area_i10,tree,79.4,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0058,area_i10,tree,85.2,96.4,0,9.2,sea_wall,TRUE,,,prop_sticker_tree_06.png,south
sea_i10_0059,area_i10,tree,91.0,96.4,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,south
sea_i10_0060,area_i10,tree,3.6,4.0,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,west
sea_i10_0061,area_i10,tree,3.6,9.8,0,5.2,sea_wall,TRUE,,,prop_sticker_tree_07.png,west
