zone_id,area_id,x_pct,y_pct,r_pct,beat_id,label,note
z_i21_dock,area_i21,51.1,75,15.7,,부두공터,미션 받기
z_i21_workshop,area_i21,28,56,8,,공방앞,서쪽으로 밈
z_i21_warehouse,area_i21,72,44,8,,창고앞,동편과 맞춤
z_i21_blight,area_i21,50,50,10,,웅덩이,부두와 떨어짐
z_i21_yard,area_i21,32.5,46,8,,박공마당,쉼터·생명
z_i21_east,area_i21,70,44,10.2,,동편풀,떠돌이·하루
z_i21_ne,area_i21,72.9,24.8,12.2,,북동마당,구조·라이벌
z_i21_gate,area_i21,50,8,8,,들판북,중앙과 맞닿는 정화
z_i11_well,area_i11,50,50,10,,우물,중앙 정화
z_i10_pool,area_i10,92,50,10,,수렁,서부 정화
z_i12_pool,area_i12,8,50,10,,웅덩이,동부 정화
z_i01_pool,area_i01,50,92,10,,검은샘,북부 정화

