combat_id,enemy_name,enemy_icon,enemy_hp,enemy_atk,enemy_def,pattern_id,rage_max,rage_per_turn,combat_mode,redeems_to_member_id
c_normal,폐기물 병정,💀,6500,980,160,N_SWARM,100,12,ACTION,
c_normal2,하수구 약탈자,👺,6000,920,150,N_SWARM,100,12,ACTION,
c_normal3,오염 슬러지,🟢,5600,860,130,N_CASTER,100,18,ACTION,
c_normal4,고사목 괴수,🪵,6200,950,155,N_BRUTE,100,15,ACTION,
c_normal5,방벽 파수 로봇,🛡️,8200,1100,260,N_GUARD,100,10,ACTION,
c_normal6,냉각 유령,❄️,8800,1180,240,N_BRUTE,100,15,ACTION,
c_normal7,쌍두 탐욕귀,👹,10000,1300,280,N_BRUTE,100,16,ACTION,
c_normal8,오염토 인형,🗿,7000,1000,200,N_GUARD,100,10,ACTION,
c_normal9,폐기물 소환사,🦴,9200,1250,220,N_CASTER,100,18,ACTION,
c_normal10,들짐승 잔재,🐺,7800,1150,180,N_SWARM,100,14,ACTION,
c_miniboss,오염 기사,♞,16000,1600,380,E_KNIGHT,100,22,ACTION,
c_finalboss,탐욕의 근원,👑,28000,2100,500,B_GUARDIAN,100,20,ACTION,
c_normal_2,폐기물 병정,💀,7200,1050,170,N_SWARM,100,14,ACTION,
c_normal2_2,하수구 약탈자,👺,6800,1000,160,N_SWARM,100,14,ACTION,
c_normal3_2,오염 슬러지,🟢,6200,940,140,N_CASTER,100,20,ACTION,
c_normal4_2,고사목 괴수,🪵,7000,1020,165,N_BRUTE,100,16,ACTION,
c_normal5_2,방벽 파수 로봇,🛡️,9000,1200,280,N_GUARD,100,12,ACTION,
c_normal6_2,냉각 유령,❄️,9600,1280,260,N_BRUTE,100,16,ACTION,
c_normal7_2,쌍두 탐욕귀,👹,11000,1400,300,N_BRUTE,100,18,ACTION,
c_normal8_2,오염토 인형,🗿,7800,1100,220,N_GUARD,100,12,ACTION,
c_normal9_2,폐기물 소환사,🦴,10000,1350,240,N_CASTER,100,20,ACTION,
c_normal10_2,들짐승 잔재,🐺,8600,1220,200,N_SWARM,100,15,ACTION,
c_miniboss_2,오염 기사,♞,18000,1750,420,E_KNIGHT,100,24,ACTION,
c_finalboss_2,탐욕의 근원,👑,32000,2300,560,B_GUARDIAN,100,22,ACTION,
c_purify_wave1,오염된 유기견,🐕,60,5,0,N_SWARM,100,12,PURIFY,mem_mongchi
c_purify_wave2,오염된 길고양이,🐈,90,6,0,N_SWARM,100,12,PURIFY,mem_haneuli
c_purify_miniboss,오염 응축체,🌑,220,12,0,N_SWARM,100,12,PURIFY,
c_purify_final,오염된 열두,🐾,400,15,0,N_SWARM,100,12,PURIFY,mem_yeoldu
