combat_id,tier,text_id,gold_min,gold_max,exp_min,exp_max
c_normal,NORMAL,t_bone,100,800,90,160
c_normal2,NORMAL,t_goblin,100,800,90,160
c_normal3,NORMAL,t_slime,100,800,90,160
c_normal4,NORMAL,t_stick,100,800,90,160
c_normal5,NORMAL,t_paladin,100,800,90,160
c_normal6,NORMAL,t_yeti,120,850,100,170
c_normal7,NORMAL,t_twinhead,150,900,110,180
c_normal8,NORMAL,t_claydoll,100,750,90,150
c_normal9,NORMAL,t_necro,130,880,100,175
c_normal10,NORMAL,t_wolfden,110,820,95,165
c_miniboss,MINIBOSS,t_darkknight,200,400,180,220
c_finalboss,FINALBOSS,t_prince,,,,
c_normal_2,NORMAL,t_bone_2,100,800,90,160
c_normal2_2,NORMAL,t_goblin_2,100,800,90,160
c_normal3_2,NORMAL,t_slime_2,100,800,90,160
c_normal4_2,NORMAL,t_stick_2,100,800,90,160
c_normal5_2,NORMAL,t_paladin_2,100,800,90,160
c_normal6_2,NORMAL,t_yeti_2,120,850,100,170
c_normal7_2,NORMAL,t_twinhead_2,150,900,110,180
c_normal8_2,NORMAL,t_claydoll_2,100,750,90,150
c_normal9_2,NORMAL,t_necro_2,130,880,100,175
c_normal10_2,NORMAL,t_wolfden_2,110,820,95,165
c_miniboss_2,MINIBOSS,t_darkknight_2,200,400,180,220
c_finalboss_2,FINALBOSS,t_prince_2,,,,
c_purify_wave1,PURIFY_WAVE1,t_purify_wave1,150,150,50,50
c_purify_wave2,PURIFY_WAVE2,t_purify_wave2,150,150,60,60
c_purify_miniboss,PURIFY_MINIBOSS,t_purify_miniboss,250,250,120,120
c_purify_final,PURIFY_FINAL,t_purify_final,400,400,200,200
