pool_id,grade_id,text_id,effect_id,weight,linked_minigame_id
p_mana,g_mid,t_mana,e_hp30,10,
p_weapon,g_mid,t_weapon,e_atk7,10,
p_unicorn,g_mid,t_unicorn,e_maxhp10,10,
p_potion,g_mid,t_potion,e_atk10,10,
p_fairy,g_mid,t_fairy,e_def7,10,
p_virus,g_mid,t_virus,e_maxhp7,10,
p_oldbook,g_mid,t_oldbook,e_atk7,10,
p_hotspring,g_mid,t_hotspring,e_hp45,10,
p_smith,g_mid,t_smith,e_def15,10,
p_training,g_mid,t_training,e_atk10,10,
p_storm,g_bad,t_storm,e_atk_neg5,10,
p_musicbox,g_bad,t_music_box,e_maxhp_neg5,10,
p_trap,g_bad,t_trap,e_hp_neg10,10,
p_fog,g_bad,t_fog,e_hp_neg15,10,
p_fog2,g_bad,t_fog2,e_hp_neg15,10,
p_cliff,g_bad,t_cliff,e_hp_neg10,10,
p_poisonberry,g_bad,t_poisonberry,e_atk_neg10,10,
p_shrine,g_bad,t_shrine,e_def_neg5,10,
p_ruin,g_jackpot,t_ruin,e_atk21,10,
p_luckybox,g_jackpot,t_luckybox,,10,mg_lucky_treasure
p_mythslot,g_jackpot,t_mythslot,,8,mg_slot
p_waterblessing,g_jackpot,t_waterblessing,e_maxhp21,10,
p_bonus_star,g_bonus,t_bonus_star,e_star2,10,
p_bonus_coin,g_bonus,t_bonus_coin,e_gold275,10,
p_bonus_feed,g_bonus,t_bonus_feed,e_feed1,10,
p_mana_2,g_mid,t_mana_2,e_hp30,10,
p_weapon_2,g_mid,t_weapon_2,e_atk7,10,
p_unicorn_2,g_mid,t_unicorn_2,e_maxhp10,10,
p_potion_2,g_mid,t_potion_2,e_atk10,10,
p_fairy_2,g_mid,t_fairy_2,e_def7,10,
p_virus_2,g_mid,t_virus_2,e_maxhp7,10,
p_oldbook_2,g_mid,t_oldbook_2,e_atk7,10,
p_hotspring_2,g_mid,t_hotspring_2,e_hp45,10,
p_smith_2,g_mid,t_smith_2,e_def15,10,
p_training_2,g_mid,t_training_2,e_atk10,10,
p_storm_2,g_bad,t_storm_2,e_atk_neg5,10,
p_musicbox_2,g_bad,t_music_box_2,e_maxhp_neg5,10,
p_trap_2,g_bad,t_trap_2,e_hp_neg10,10,
p_fog_2,g_bad,t_fog_2,e_hp_neg15,10,
p_fog2_2,g_bad,t_fog2_2,e_hp_neg15,10,
p_cliff_2,g_bad,t_cliff_2,e_hp_neg10,10,
p_poisonberry_2,g_bad,t_poisonberry_2,e_atk_neg10,10,
p_shrine_2,g_bad,t_shrine_2,e_def_neg5,10,
p_ruin_2,g_jackpot,t_ruin_2,e_atk21,10,
p_luckybox_2,g_jackpot,t_luckybox_2,,10,mg_lucky_treasure
p_mythslot_2,g_jackpot,t_mythslot_2,,8,mg_slot
p_waterblessing_2,g_jackpot,t_waterblessing_2,e_maxhp21,10,
p_bonus_star_2,g_bonus,t_bonus_star_2,e_star2,10,
p_bonus_coin_2,g_bonus,t_bonus_coin_2,e_gold275,10,
p_bonus_feed_2,g_bonus,t_bonus_feed_2,e_feed1,10,
