pattern_id,enemy_skill_id,chance_pct,value,value_type,hp_below_pct,sort_order,enabled,note
E_KNIGHT,es_guard_start,100,2400,FLAT,100,1,TRUE,정예 시작 실드
E_KNIGHT,es_combo_light,18,0.72,ATK_RATIO,100,2,TRUE,연타 18%
E_KNIGHT,es_guard_refresh,28,1600,FLAT,100,3,TRUE,재실드 28%
E_KNIGHT,es_rage_slash,100,1.9,ATK_RATIO,100,4,TRUE,분노 참격
N_SWARM,es_combo_light,22,0.65,ATK_RATIO,100,1,TRUE,떼 연타
N_SWARM,es_rage_smash,100,1.35,ATK_RATIO,100,2,TRUE,약한 분노
N_BRUTE,es_combo_light,12,0.7,ATK_RATIO,100,1,TRUE,둔탁 연타
N_BRUTE,es_rage_smash,100,1.55,ATK_RATIO,100,2,TRUE,중 분노
N_CASTER,es_bolt,40,0.55,ATK_RATIO,100,1,TRUE,주술탄
N_CASTER,es_rage_hex,100,1.45,ATK_RATIO,100,2,TRUE,저주 분노
N_GUARD,es_guard_start,100,900,FLAT,100,1,TRUE,소실드
N_GUARD,es_combo_light,10,0.6,ATK_RATIO,100,2,TRUE,
N_GUARD,es_rage_smash,100,1.3,ATK_RATIO,100,3,TRUE,
B_GUARDIAN,es_wall,100,4200,FLAT,100,1,TRUE,보스 시작 벽
B_GUARDIAN,es_combo_heavy,25,0.8,ATK_RATIO,100,2,TRUE,연타 25%
B_GUARDIAN,es_wall_refresh,22,2800,FLAT,100,3,TRUE,재벽
B_GUARDIAN,es_rage_guard,100,2.0,ATK_RATIO,100,4,TRUE,P1 분노
B_GUARDIAN,es_combo_heavy,32,0.9,ATK_RATIO,60,5,TRUE,P2 연타↑
B_GUARDIAN,es_wall_refresh,30,3200,FLAT,60,6,TRUE,P2 재벽↑
B_GUARDIAN,es_rage_guard_p2,100,2.35,ATK_RATIO,60,7,TRUE,P2 분노 (우선)
B_GUARDIAN,es_combo_heavy,40,1.0,ATK_RATIO,30,8,TRUE,P3 연타
B_GUARDIAN,es_wall_refresh,35,3600,FLAT,30,9,TRUE,P3 재벽
B_GUARDIAN,es_rage_guard_p3,100,2.7,ATK_RATIO,30,10,TRUE,P3 분노
