tier,wave_index,start_sec,count,alive_cap,rate_runner,rate_tank,rate_spitter,spawn_gap_sec
NORMAL,1,0,5,8,0.7,0.2,0.1,0.4
NORMAL,2,8,6,10,0.55,0.3,0.15,0.38
NORMAL,3,16,7,12,0.4,0.35,0.25,0.35
MINIBOSS,1,0,6,10,0.5,0.3,0.2,0.36
MINIBOSS,2,7,7,12,0.4,0.35,0.25,0.34
MINIBOSS,3,14,8,14,0.35,0.4,0.25,0.32
MINIBOSS,4,22,8,14,0.3,0.4,0.3,0.3
FINALBOSS,1,0,7,12,0.35,0.35,0.3,0.32
FINALBOSS,2,6,8,14,0.3,0.35,0.35,0.3
FINALBOSS,3,13,9,16,0.25,0.4,0.35,0.28
FINALBOSS,4,20,9,16,0.2,0.4,0.4,0.26
FINALBOSS,5,28,10,18,0.18,0.42,0.4,0.24
