effect_row_id,skill_id,trigger,trigger_value,target,op,value,value_type,enabled,action_slot,note
se_skinharden_dr,sk_skinharden,ALWAYS,0,DMG_TAKEN_MULT,MUL,0.90,RATIO,TRUE,PASSIVE,Hardened 10%
se_skinharden_p_dr,sk_skinharden_plus,ALWAYS,0,DMG_TAKEN_MULT,MUL,0.85,RATIO,TRUE,PASSIVE,skin harden+
se_tough,sk_tough,ALWAYS,0,DMG_TAKEN_MULT,MUL,0.95,RATIO,TRUE,PASSIVE,DR 5%
se_dodge_boost,sk_dodge_boost,ALWAYS,0,DODGE_RATE,ADD,10,FLAT,TRUE,PASSIVE,Dodge +10
se_dodge_crit,sk_dodge,ALWAYS,30,DODGE_RATE,ADD,20,FLAT,TRUE,PASSIVE,Critical Dodge HP<=30 +20
se_lightning_m,sk_lightning_mastery,ALWAYS,0,SKILL_DMG_MULT,ADD,0.08,RATIO,TRUE,PASSIVE,bolt mastery
se_lightning_mp,sk_lightning_mastery_plus,ALWAYS,0,SKILL_DMG_MULT,ADD,0.14,RATIO,TRUE,PASSIVE,bolt mastery+
se_crown_atk,sk_crown,ALWAYS,0,ATK_MULT,ADD,0.15,RATIO,TRUE,PASSIVE,Royal Crown ATK
se_crown_def,sk_crown,ALWAYS,0,DEF_MULT,ADD,0.15,RATIO,TRUE,PASSIVE,Royal Crown DEF
se_crown_hp,sk_crown,ALWAYS,0,MAX_HP_MULT,ADD,0.15,RATIO,TRUE,PASSIVE,Royal Crown HP
se_heal_boost,sk_heal_boost,ALWAYS,0,HEAL_BONUS_PCT,ADD,2,FLAT,TRUE,PASSIVE,Enhanced Recovery +2%p
se_lightspear,sk_lightspear,ALWAYS,0,LIGHT_SPEAR_MULT,ADD,0.60,RATIO,TRUE,PASSIVE,spear mastery
se_defense_max,sk_defense_max,ALWAYS,0,ROUND_DR_ADD,ADD,0.08,RATIO,TRUE,PASSIVE,Battle-Hardened +8%/round
se_lifedeath,sk_lifedeath,ALWAYS,30,GLASS_CANNON,SET,1,FLAT,TRUE,PASSIVE,Glass Cannon flag HP<=30
se_lifedeath_kill,sk_lifedeath,ALWAYS,0,KILL_HEAL_PCT,ADD,0.10,RATIO,TRUE,PASSIVE,kill heal 10%
se_combo2_rate,sk_combo2,ALWAYS,0,COMBO_RATE,ADD,15,FLAT,TRUE,PASSIVE,Combo Spirit rate
se_combo2_max,sk_combo2,ALWAYS,0,COMBO_MAX,SET,2,FLAT,TRUE,PASSIVE,combo max 2
se_combo2_skill,sk_combo2,ALWAYS,0,SKILL_DMG_MULT,ADD,-0.10,RATIO,TRUE,PASSIVE,skill dmg down
se_comborush3,sk_comborush3,ON_COMBO,100,COMBO_EXTRA_HIT,ADD,0.50,ATK_RATIO,TRUE,COMBO,extra hit on combo
se_renta_m_rate,sk_renta_mastery,ALWAYS,0,COMBO_RATE,ADD,15,FLAT,TRUE,PASSIVE,Combo Mastery rate
se_renta_m_stack,sk_renta_mastery,ALWAYS,0,COMBO_ATK_STACK,ADD,0.10,RATIO,TRUE,PASSIVE,ATK stack per combo
se_renta,sk_renta,ALWAYS,0,COMBO_RATE,ADD,10,FLAT,TRUE,PASSIVE,Combo +10
se_renta_p,sk_renta_plus,ALWAYS,0,COMBO_RATE,ADD,15,FLAT,TRUE,PASSIVE,Combo+ +15
se_orc_crit,sk_orc,ALWAYS,0,CRIT_RATE,ADD,50,FLAT,TRUE,PASSIVE,Orc crit
se_orc_rage_lock,sk_orc,ALWAYS,0,RAGE_GAIN_LOCK,SET,1,FLAT,TRUE,PASSIVE,no rage gain
se_shuriken_n,sk_shuriken,ON_PLAYER_TURN,100,VOLLEY_COUNT,ADD,1,FLAT,TRUE,DAGGER,수리검 1발
se_shuriken_r,sk_shuriken,ON_PLAYER_TURN,100,VOLLEY_RATIO,SET,0.45,ATK_RATIO,TRUE,DAGGER,발당 ATK45%
