mode_id,title,subtitle,icon,bg_class,show_enemy,note
IDLE,모험 대기,버튼을 눌러 다음 하루로 진행합니다,🏕️,stage-idle,FALSE,대기(직전 장면 유지 시 title 오버라이드)
MOVING,이동 중,길을 따라 이동하고 있습니다…,🚶,stage-moving,FALSE,이동 연출
COMBAT,전투 중,상단에서 전투가 진행됩니다,⚔️,stage-combat,TRUE,전투 로그
COMBAT_WAIT,전투 대기,전투을 눌러 전투를 시작하세요,⚔️,stage-combat-wait,FALSE,조우 후 전투 전
SKILL,스킬 선택 중,아래에서 기술을 선택하세요,✨,stage-skill,FALSE,스킬 패널
LOCATION_FIND,영지 발견,새로운 장소를 발견했습니다,🗺️,stage-location,FALSE,발견
LOCATION_ARRIVE,영지 도착,영지에 도착했습니다,🏠,stage-location,FALSE,도착
EVENT,모험 중,이야기가 진행되고 있습니다,📜,stage-event,FALSE,하단 로그 동기 장면
BRANCH,갈림길,아래에서 선택을 고르세요,🔀,stage-branch,FALSE,분기 선택
RESCUE,구조 조우,오염된 동물을 정화해 구조합니다,🐾,stage-rescue,FALSE,구조 조우(정화 퍼즐) — VS 없음
