key,text
ui_start_badge,모험가 훈장 혜택 미리보기: 스킬 1개를 선택해 보세요.
ui_start_nobadge,모험가 훈장 혜택 미리보기: 스킬 1개를 선택해 보세요.
ui_start_medal_owned,모험가 훈장을 보유하고 있어 스킬 1개를 선택할 수 있습니다.
ui_skill_learned,스킬 [{name}] 학습했습니다.
ui_skill_learned_choice,스킬 [{name}] 학습했습니다. (3택1 중 선택)
ui_skill_learned_auto,스킬 [{name}] 학습했습니다. (자동학습)
ui_skill_grant_line,스킬 {name} 학습
ui_skill_kind_label,스킬
ui_skill_learn_chip,{name} 학습
ui_skill_upgrade_chip,{name} 강화(+)
ui_combat_win,전투 승리
ui_chip_exp,✨ EXP +{exp}
ui_chip_gold,🪙 골드 +{gold}
ui_levelup,Lv.{lv}로 상승했습니다.
ui_levelup_heal,레벨업 시 HP 회복
ui_chip_hp_heal,❤️ HP +{pct}%
ui_miniboss_chest,정예를 처치하고 황금 보물상자를 발견했습니다.
ui_chest_title,획득 성공
ui_revive_down,격전 끝에 체력이 모두 소진되어 쓰러졌습니다...
ui_revive_up,신화 스킬 [부활]이 발동하여 체력을 모두 회복하고 다시 일어섰습니다!
ui_chip_full_heal,❤️ HP 100% 회복
ui_finalboss_reward,탐욕의 근원을 정화해 오래된 기록을 회수했습니다.
ui_branch_pick,“{label}” 선택
ui_bet_win,{mine}이(가) 정확한 공격으로 {other}을(를) 쓰러뜨렸습니다. 당신이 베팅에서 이겼습니다.
ui_bet_lose,{other}이(가) {mine}을(를) 쓰러뜨렸습니다. 당신이 베팅에서 졌습니다.
ui_try_fail,시도가 실패로 돌아갔습니다. (성공확률 {prob}%)
ui_try_success,성공했습니다! (성공확률 {prob}%)
ui_pass_quiet,조용히 지나갔습니다.
ui_final_encounter,최후의 결전이 시작됩니다.
ui_enemy_appear,전방에 적이 나타났습니다.
ui_reward_get,보상을 획득했습니다.
ui_nothing,특별한 일이 없었습니다.
ui_btn_skill_choice,스킬 선택
ui_skill_sub,아래에서 기술을 선택하세요
ui_btn_blessing,축복 선택
ui_angel_title,천사의 축복
ui_angel_sub,아래에서 하나를 선택하세요
ui_btn_next,다음날
ui_btn_combat,전투
ui_btn_combat_active,전투 중
ui_btn_moving,이동 중
ui_btn_pickup,줍기
ui_btn_find,다가가기
ui_find_hint,정화제 · {dir}
ui_btn_learned_skills,학습한 스킬
ui_learned_skills_title,학습한 스킬
ui_learned_skills_empty,아직 학습한 스킬이 없습니다.
ui_learned_skills_close,닫기
ui_mg_lucky_title,행운의 보물
ui_mg_lucky_sub,행운을 빕니다
ui_mg_lucky_hidden,❔
ui_mg_lucky_match,축하합니다!
ui_mg_myth_title,신화 스킬
ui_mg_myth_angel,천사의 힘
ui_mg_myth_devil,악마의 아이
ui_prob_label,성공확률 {prob}%
ui_day_header,{day}일차
ui_victory_icon,👑
ui_victory_title,승리
ui_victory_sub,챕터 {ch} · 생존 {day}일 · 최고 여정 {best}일
ui_victory_loot,🪙 골드 x{gold}
ui_mg_splash,BONUS GAME
ui_mg_spinning,돌리는 중...
ui_mg_nothing,아무 일도 없었습니다
ui_mg_reward,보상 획득
